# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
-1.915272623000000007e-01,2.759870338440000026e+01,2.811445207347899600e-01,2.003000915302969864e-01
-1.916755139999999913e-01,2.759868240360000158e+01,2.811806124221384318e-01,2.002638379606507812e-01
-1.915911137999999903e-01,2.759861564639999898e+01,2.811840719166121549e-01,2.003048432060652306e-01
-1.915733218000000015e-01,2.759858322139999842e+01,2.811903988425551448e-01,2.003182360603508738e-01
-1.915424913000000062e-01,2.759867477419999915e+01,2.811562973229992379e-01,2.003032139773869846e-01
-1.915284245999999968e-01,2.759870529169999998e+01,2.811441718220571984e-01,2.002992711495544809e-01
-1.915735155000000134e-01,2.759874343870000146e+01,2.811415682314319930e-01,2.002767218083967848e-01
-1.914988011000000045e-01,2.759861946110000019e+01,2.811644165080570135e-01,2.003298120414064298e-01
-1.915774493999999883e-01,2.759869956969999905e+01,2.811557363858444014e-01,2.002869686280465966e-01
-1.916241794999999914e-01,2.759872817990000016e+01,2.811563688369955183e-01,2.002664264499396385e-01
-1.916418970000000055e-01,2.759868431090000129e+01,2.811732982061166397e-01,2.002727967680253962e-01
-1.916412114999999916e-01,2.759868240360000158e+01,2.811737427064109895e-01,2.002734830407851274e-01
-1.915711461999999865e-01,2.759863471979999971e+01,2.811742543166189101e-01,2.003055222794136725e-01
-1.916341782000000049e-01,2.759864997860000102e+01,2.811822248606782315e-01,2.002838507324617989e-01
-1.915393025000000082e-01,2.759868621829999924e+01,2.811521680723183536e-01,2.003011489331331108e-01
-1.915600299999999923e-01,2.759859466549999851e+01,2.811842453729166413e-01,2.003190123666979405e-01
-1.915866136999999914e-01,2.759866333009999906e+01,2.811686256042151277e-01,2.002937698811488587e-01
-1.915219425999999947e-01,2.759872245789999923e+01,2.811376379028888706e-01,2.002966508516240141e-01
-1.915287673000000135e-01,2.759870910640000119e+01,2.811430769939084473e-01,2.002981875599632033e-01
-1.916516273999999964e-01,2.759865760799999990e+01,2.811833923214582254e-01,2.002769702243416550e-01
-1.915265470999999997e-01,2.759863662720000121e+01,2.811647388061577213e-01,2.003175686055269356e-01
-1.915019303999999922e-01,2.759860229490000094e+01,2.811702793408029089e-01,2.003333744283740669e-01
-1.915901899000000130e-01,2.759873199460000137e+01,2.811483981901251039e-01,2.002749955301314500e-01
-1.915331333999999996e-01,2.759870529169999998e+01,2.811451149881483702e-01,2.002979472956575857e-01
-1.916543990000000031e-01,2.759868240360000158e+01,2.811763837885189465e-01,2.002697750446384706e-01
-1.914866120000000005e-01,2.759863471979999971e+01,2.811573206449176077e-01,2.003292904043398881e-01
